hour,FaceCount,neutral,happiness,sadness,anger,fear,surprise,disgust,contempt,sample
0,0.524002849,0.872302233,0.040621258,0.012084268,0.003696204,0.011193269,0.058427581,0.001172267,0.00050292,1
1,0.341666667,0.64483354,0.315687016,0.005242366,0.001557529,0.00026588,0.027457885,0.000567693,0.00438812,1
2,0.963369963,0.955023523,0.002326687,0.0329107,0.004436522,0.000416617,0.003018543,0.000400689,0.001466706,1
3,0.403174603,0.789953367,0.040268453,0.069420706,0.055345536,0.003616274,0.013042634,0.026782784,0.001570273,1
4,0.403174603,0.789953367,0.040268453,0.069420706,0.055345536,0.003616274,0.013042634,0.026782784,0.001570273,1
5,0.538194444,0.837423225,0.037759665,0.038898181,0.081989604,6.63E-05,0.00131775,0.000340689,0.0022046,1
6,0.77260101,0.823447436,0.140180007,0.019223758,0.004228916,0.00014102,0.001284003,0.002596993,0.00889785,1
7,0.895467063,0.770359217,0.195789407,0.018592815,0.008176167,0.000189087,0.002695561,0.001887253,0.002310492,1
8,0.747590287,0.824803682,0.148520955,0.015125156,0.002409588,0.000225292,0.006777451,0.000560679,0.001577199,1
9,0.805579944,0.847608366,0.116004829,0.024073336,0.004512391,0.000247481,0.00463569,0.000862549,0.00205536,1
10,0.81661596,0.77479695,0.194995699,0.013957546,0.006398163,0.00037691,0.006566336,0.001004928,0.001903466,1
11,0.715862592,0.852399963,0.11480694,0.015600001,0.005004816,0.000432986,0.007217359,0.001506256,0.003031677,1
12,0.850656668,0.756043344,0.214777967,0.014730246,0.004426712,0.000455582,0.006397029,0.000838331,0.002330791,1
13,0.811731047,0.762300711,0.208070457,0.011930379,0.003609952,0.000566591,0.009766362,0.001078885,0.002676664,1
14,0.759072093,0.803017873,0.149885447,0.024614568,0.006893251,0.000694249,0.009996528,0.001572726,0.003325356,1
15,0.768500458,0.81310253,0.148507051,0.020582481,0.007837931,0.000453263,0.006428313,0.000910299,0.002178132,1
16,0.730841703,0.860225261,0.100259738,0.018968684,0.009023707,0.000343825,0.008423637,0.001044559,0.001710586,1
17,0.663640882,0.817912496,0.137491083,0.023558627,0.004488129,0.000265473,0.013113357,0.001015992,0.002154844,1
18,0.671116779,0.813167854,0.154816273,0.01299131,0.003968557,0.00059423,0.009849114,0.001144454,0.003468208,1
19,0.661852007,0.820489157,0.148338006,0.018563778,0.004086881,0.000299593,0.003344825,0.001005675,0.00387208,1
20,0.67065053,0.837195221,0.127635888,0.015254207,0.0058557,0.000435464,0.008906019,0.000879555,0.003837949,1
21,0.681159162,0.821052939,0.142100384,0.008715911,0.006276279,0.000574013,0.017469839,0.002041827,0.001768809,1
22,0.616148052,0.953849206,0.017904058,0.017637749,0.004996761,0.000228808,0.003256543,0.000829468,0.001297407,1
23,0.628861365,0.91114709,0.080234322,0.005897909,0.000588962,3.72E-05,0.000588264,0.000166254,0.001340043,1
